Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
60	111	0	0.876315308	101324.999	101324.999	101324.994	101325.009	0.0135316524	0	0	20.5024	0	0	3
61	113	0	0.890920563	101324.999	101324.999	101324.994	101325.009	0.0135316524	0	0	20.3924	0	0	3
62	114	0	0.905525819	101324.999	101324.999	101324.994	101325.009	0.0135316524	0	0	20.3909	0	0	3
63	116	0	0.920131074	101324.999	101324.999	101324.994	101325.009	0.0135316524	0	0	20.4242	0	0	3
64	118	0	0.934736329	101324.998	101324.999	101324.994	101325.009	0.0135316524	0	0	20.689	0	0	3
65	120	0	0.949341584	101324.998	101324.999	101324.994	101325.009	0.0135316524	0	0	20.6942	0	0	3
66	121	0	0.963946839	101324.998	101324.999	101324.994	101325.009	0.0135316524	0	0	21.1945	0	0	3
67	123	0	0.978552094	101324.998	101324.999	101324.994	101325.009	0.0135316524	0	0	21.1253	0	0	3
68	125	0	0.993157349	101324.998	101324.999	101324.996	101325.009	0.0127349712	0	0	21.6251	0	0	3
69	126	0	1.0077626	101324.998	101324.999	101324.996	101325.009	0.0127349712	0.0139668823	100	21.504	0	0	3
70	128	0	1.02236786	101324.998	101324.999	101324.996	101325.009	0.0127349712	0.0139668823	100	22.0432	0	0	3
71	130	0	1.03697311	101324.998	101324.999	101324.996	101325.009	0.0127349712	0.0139668823	100	21.9276	0	0	3
72	131	0	1.05157837	101324.999	101324.999	101324.996	101325.009	0.0127349712	0.0139668823	100	22.5514	0	0	3
73	133	0	1.06618363	101324.998	101324.999	101324.996	101325.009	0.00999843364	0.0139668823	100	22.5859	0	0	3
74	134	0	1.08078888	101324.998	101324.999	101324.996	101325.001	0.00480056684	0.0139668823	100	23.2901	0	0	3
75	136	0	1.09539414	101324.998	101324.999	101324.996	101325.001	0.0042946341	0.0139668823	100	22.7222	0	0	3
76	138	0	1.10999939	101324.998	101324.999	101324.997	101325.001	0.0031088465	0.0139668823	100	22.8021	0	0	3
77	139	0	1.12460465	101324.998	101324.999	101324.997	101325.001	0.0031088465	0.0139668823	100	22.6208	0	0	3
78	141	0	1.1392099	101324.999	101324.999	101324.997	101325.001	0.0031088465	0.0139668823	100	23.1136	0	0	3
79	143	0	1.15381516	101324.999	101324.999	101324.997	101325.001	0.0031088465	0.0139668823	100	22.9086	0	0	3
80	144	0	1.16842041	101324.998	101324.999	101324.997	101325.001	0.0031088465	0.0139668823	100	23.0758	0	0	3
81	146	0	1.18302567	101324.998	101324.999	101324.997	101325.001	0.00277348714	0.0139668823	100	23.1133	0	0	3
82	148	0	1.19763092	101324.998	101324.999	101324.997	101325.001	0.00225013388	0.0139668823	100	23.1688	0	0	3
83	150	0	1.21223618	101324.998	101324.999	101324.997	101325.001	0.00188237314	0.0139668823	100	23.5982	0	0	3
84	151	0	1.22684143	101324.998	101324.999	101324.997	101325.001	0.00154969242	0.0139668823	100	23.7611	0	0	3
85	153	0	1.24144669	101324.998	101324.998	101324.997	101325.001	0.00138777679	0.0139668823	100	23.5569	0	0	3
86	155	0	1.25605194	101324.998	101324.998	101324.997	101325.001	0.00146335251	0.0139668823	100	23.2374	0	0	3
87	156	0	1.2706572	101324.998	101324.998	101324.997	101325	0.00153621846	0.0139668823	100	23.2043	0	0	3
88	158	0	1.28526245	101324.998	101324.998	101324.997	101324.999	0.0015790544	0.0139668823	100	23.3143	0	0	3
89	160	0	1.29986771	101324.998	101324.998	101324.997	101324.999	0.00153646874	0.0139668823	100	23.3137	0	0	3
90	161	0	1.31447296	101324.998	101324.998	101324.997	101324.999	0.00153646874	0.0139668823	100	23.5903	0	0	3
91	163	0	1.32907822	101324.998	101324.998	101324.997	101324.999	0.00153646874	0.0139668823	100	23.316	0	0	3
92	165	0	1.34368347	101324.998	101324.998	101324.998	101324.999	0.00139106375	0.0139668823	100	23.7618	0	0	3
93	166	0	1.35828873	101324.998	101324.998	101324.998	101324.999	0.00131910478	0.0139668823	100	23.4514	0	0	3
94	168	0	1.37289398	101324.998	101324.998	101324.998	101324.999	0.0011441416	0.0139668823	100	23.4756	0	0	3
95	170	0	1.38749924	101324.997	101324.998	101324.997	101324.999	0.00107829188	0.0139668823	100	22.6649	0	0	3
96	171	0	1.40210449	101324.999	101324.998	101324.997	101324.999	0.00108596303	0.0139668823	100	22.8974	0	0	3
97	173	0	1.41670975	101324.998	101324.998	101324.997	101324.999	0.00112228155	0.0139668823	100	22.4379	0	0	3
98	175	0	1.431315	101324.998	101324.998	101324.997	101324.999	0.00113931204	0.0139668823	100	22.6452	0	0	3
99	176	0	1.44592026	101324.997	101324.998	101324.997	101324.999	0.00117884662	0.0139668823	100	22.5221	0	0	3
100	178	0	1.46052551	101324.997	101324.998	101324.997	101324.999	0.00121595338	0.0139668823	100	22.6202	0	0	3
101	180	0	1.47513077	101324.997	101324.998	101324.997	101324.999	0.00124924692	0.0139668823	100	22.2199	0	0	3
102	182	0	1.48973602	101324.998	101324.998	101324.997	101324.999	0.00124924692	0.0139668823	100	22.2548	0	0	3
