Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
90	161	0	1.31447296	0	0	0	0	0	5e-006	100	0	0	0	3
91	163	0	1.32907822	0	0	0	0	0	5e-006	100	0	0	0	3
92	165	0	1.34368347	0	0	0	0	0	5e-006	100	0	0	0	3
93	166	0	1.35828873	0	0	0	0	0	5e-006	100	0	0	0	3
94	168	0	1.37289398	0	0	0	0	0	5e-006	100	0	0	0	3
95	170	0	1.38749924	0	0	0	0	0	5e-006	100	0	0	0	3
96	171	0	1.40210449	0	0	0	0	0	5e-006	100	0	0	0	3
97	173	0	1.41670975	0	0	0	0	0	5e-006	100	0	0	0	3
98	175	0	1.431315	0	0	0	0	0	5e-006	100	0	0	0	3
99	176	0	1.44592026	0	0	0	0	0	5e-006	100	0	0	0	3
100	178	0	1.46052551	0	0	0	0	0	5e-006	100	0	0	0	3
101	180	0	1.47513077	0	0	0	0	0	5e-006	100	0	0	0	3
102	182	0	1.48973602	0	0	0	0	0	5e-006	100	0	0	0	3
103	183	0	1.50434128	0	0	0	0	0	5e-006	100	0	0	0	3
104	185	0	1.51894653	0	0	0	0	0	5e-006	100	0	0	0	3
105	187	0	1.53355179	0	0	0	0	0	5e-006	100	0	0	0	3
106	188	0	1.54815704	0	0	0	0	0	5e-006	100	0	0	0	3
107	190	0	1.5627623	0	0	0	0	0	5e-006	100	0	0	0	3
108	191	0	1.57736755	0	0	0	0	0	5e-006	100	0	0	0	3
109	193	0	1.59197281	0	0	0	0	0	5e-006	100	0	0	0	3
110	195	0	1.60657807	0	0	0	0	0	5e-006	100	0	0	0	3
111	196	0	1.62118332	0	0	0	0	0	5e-006	100	0	0	0	3
112	198	0	1.63578858	0	0	0	0	0	5e-006	100	0	0	0	3
113	200	0	1.65039383	0	0	0	0	0	5e-006	100	0	0	0	3
114	201	0	1.66499909	0	0	0	0	0	5e-006	100	0	0	0	3
115	203	0	1.67960434	0	0	0	0	0	5e-006	100	0	0	0	3
116	205	0	1.6942096	0	0	0	0	0	5e-006	100	0	0	0	3
117	206	0	1.70881485	0	0	0	0	0	5e-006	100	0	0	0	3
118	208	0	1.72342011	0	0	0	0	0	5e-006	100	0	0	0	3
119	210	0	1.73802536	0	0	0	0	0	5e-006	100	0	0	0	3
120	211	0	1.75263062	0	0	0	0	0	5e-006	100	0	0	0	3
121	213	0	1.76723587	0	0	0	0	0	5e-006	100	0	0	0	3
122	215	0	1.78184113	0	0	0	0	0	5e-006	100	0	0	0	3
123	216	0	1.79644638	0	0	0	0	0	5e-006	100	0	0	0	3
124	218	0	1.81105164	0	0	0	0	0	5e-006	100	0	0	0	3
125	220	0	1.82565689	0	0	0	0	0	5e-006	100	0	0	0	3
126	222	0	1.84026215	0	0	0	0	0	5e-006	100	0	0	0	3
127	224	0	1.8548674	0	0	0	0	0	5e-006	100	0	0	0	3
128	225	0	1.86947266	0	0	0	0	0	5e-006	100	0	0	0	3
129	227	0	1.88407791	0	0	0	0	0	5e-006	100	0	0	0	3
130	229	0	1.89868317	0	0	0	0	0	5e-006	100	0	0	0	3
131	230	0	1.91328842	0	0	0	0	0	5e-006	100	0	0	0	3
132	232	0	1.92789368	0	0	0	0	0	5e-006	100	0	0	0	3
133	234	0	1.94249893	0	0	0	0	0	5e-006	100	0	0	0	3
134	235	0	1.95710419	0	0	0	0	0	5e-006	100	0	0	0	3
135	237	0	1.97170944	0	0	0	0	0	5e-006	100	0	0	0	3
136	238	0	1.9863147	0	0	0	0	0	5e-006	100	0	0	0	3
137	240	0	2.00091995	0	0	0	0	0	5e-006	100	0	0	0	3
138	242	0	2.01552521	0	0	0	0	0	5e-006	100	0	0	0	3
139	243	0	2.03013046	0	0	0	0	0	5e-006	100	0	0	0	3
140	245	0	2.04473572	0	0	0	0	0	5e-006	100	0	0	0	3
141	247	0	2.05934097	0	0	0	0	0	5e-006	100	0	0	0	3
142	248	0	2.07394623	0	0	0	0	0	5e-006	100	0	0	0	3
143	250	0	2.08855148	0	0	0	0	0	5e-006	100	0	0	0	3
144	252	0	2.10315674	0	0	0	0	0	5e-006	100	0	0	0	3
145	253	0	2.11776199	0	0	0	0	0	5e-006	100	0	0	0	3
146	255	0	2.13236725	0	0	0	0	0	5e-006	100	0	0	0	3
147	257	0	2.14697251	0	0	0	0	0	5e-006	100	0	0	0	3
148	258	0	2.16157776	0	0	0	0	0	5e-006	100	0	0	0	3
149	260	0	2.17618302	0	0	0	0	0	5e-006	100	0	0	0	3
150	261	0	2.19078827	0	0	0	0	0	5e-006	100	0	0	0	3
151	263	0	2.20539353	0	0	0	0	0	5e-006	100	0	0	0	3
152	265	0	2.21999878	0	0	0	0	0	5e-006	100	0	0	0	3
153	266	0	2.23460404	0	0	0	0	0	5e-006	100	0	0	0	3
154	268	0	2.24920929	0	0	0	0	0	5e-006	100	0	0	0	3
155	270	0	2.26381455	0	0	0	0	0	5e-006	100	0	0	0	3
156	271	0	2.2784198	0	0	0	0	0	5e-006	100	0	0	0	3
157	273	0	2.29302506	0	0	0	0	0	5e-006	100	0	0	0	3
158	275	0	2.30763031	0	0	0	0	0	5e-006	100	0	0	0	3
159	276	0	2.32223557	0	0	0	0	0	5e-006	100	0	0	0	3
160	278	0	2.33684082	0	0	0	0	0	5e-006	100	0	0	0	3
161	280	0	2.35144608	0	0	0	0	0	5e-006	100	0	0	0	3
162	281	0	2.36605133	0	0	0	0	0	5e-006	100	0	0	0	3
163	283	0	2.38065659	0	0	0	0	0	5e-006	100	0	0	0	3
164	285	0	2.39526184	0	0	0	0	0	5e-006	100	0	0	0	3
165	286	0	2.4098671	0	0	0	0	0	5e-006	100	0	0	0	3
166	288	0	2.42447235	0	0	0	0	0	5e-006	100	0	0	0	3
167	290	0	2.43907761	0	0	0	0	0	5e-006	100	0	0	0	3
168	292	0	2.45368286	0	0	0	0	0	5e-006	100	0	0	0	3
169	293	0	2.46828812	0	0	0	0	0	5e-006	100	0	0	0	3
170	295	0	2.48289337	0	0	0	0	0	5e-006	100	0	0	0	3
171	297	0	2.49749863	0	0	0	0	0	5e-006	100	0	0	0	3
172	298	0	2.51210388	0	0	0	0	0	5e-006	100	0	0	0	3
173	300	0	2.52670914	0	0	0	0	0	5e-006	100	0	0	0	3
174	302	0	2.54131439	0	0	0	0	0	5e-006	100	0	0	0	3
175	303	0	2.55591965	0	0	0	0	0	5e-006	100	0	0	0	3
176	305	0	2.5705249	0	0	0	0	0	5e-006	100	0	0	0	3
177	306	0	2.58513016	0	0	0	0	0	5e-006	100	0	0	0	3
178	308	0	2.59973541	0	0	0	0	0	5e-006	100	0	0	0	3
179	310	0	2.61434067	0	0	0	0	0	5e-006	100	0	0	0	3
180	311	0	2.62894592	0	0	0	0	0	5e-006	100	0	0	0	3
181	313	0	2.64355118	0	0	0	0	0	5e-006	100	0	0	0	3
182	315	0	2.65815643	0	0	0	0	0	5e-006	100	0	0	0	3
183	316	0	2.67276169	0	0	0	0	0	5e-006	100	0	0	0	3
184	318	0	2.68736695	0	0	0	0	0	5e-006	100	0	0	0	3
185	320	0	2.7019722	0	0	0	0	0	5e-006	100	0	0	0	3
186	321	0	2.71657746	0	0	0	0	0	5e-006	100	0	0	0	3
187	323	0	2.73118271	0	0	0	0	0	5e-006	100	0	0	0	3
188	325	0	2.74578797	0	0	0	0	0	5e-006	100	0	0	0	3
189	326	0	2.76039322	0	0	0	0	0	5e-006	100	0	0	0	3
190	328	0	2.77499848	0	0	0	0	0	5e-006	100	0	0	0	3
191	330	0	2.78960373	0	0	0	0	0	5e-006	100	0	0	0	3
192	331	0	2.80420899	0	0	0	0	0	5e-006	100	0	0	0	3
193	333	0	2.81881424	0	0	0	0	0	5e-006	100	0	0	0	3
194	335	0	2.8334195	0	0	0	0	0	5e-006	100	0	0	0	3
195	336	0	2.84802475	0	0	0	0	0	5e-006	100	0	0	0	3
196	338	0	2.86263001	0	0	0	0	0	5e-006	100	0	0	0	3
197	340	0	2.87723526	0	0	0	0	0	5e-006	100	0	0	0	3
198	342	0	2.89184052	0	0	0	0	0	5e-006	100	0	0	0	3
199	343	0	2.90644577	0	0	0	0	0	5e-006	100	0	0	0	3
200	345	0	2.92105103	0	0	0	0	0	5e-006	100	0	0	0	3
201	347	0	2.93565628	0	0	0	0	0	5e-006	100	0	0	0	3
202	349	0	2.95026154	0	0	0	0	0	5e-006	100	0	0	0	3
203	350	0	2.96486679	0	0	0	0	0	5e-006	100	0	0	0	3
204	352	0	2.97947205	0	0	0	0	0	5e-006	100	0	0	0	3
205	354	0	2.9940773	0	0	0	0	0	5e-006	100	0	0	0	3
206	356	0	3.00868256	0	0	0	0	0	5e-006	100	0	0	0	3
207	357	0	3.02328781	0	0	0	0	0	5e-006	100	0	0	0	3
208	359	0	3.03789307	0	0	0	0	0	5e-006	100	0	0	0	3
209	361	0	3.05249832	0	0	0	0	0	5e-006	100	0	0	0	3
210	362	0	3.06710358	0	0	0	0	0	5e-006	100	0	0	0	3
211	364	0	3.08170883	0	0	0	0	0	5e-006	100	0	0	0	3
212	366	0	3.09631409	0	0	0	0	0	5e-006	100	0	0	0	3
213	367	0	3.11091934	0	0	0	0	0	5e-006	100	0	0	0	3
