Iteration	CPUTime	PhysTime	Travels	CourFact
227	391	0	3.31539292	0
228	392	0	3.32999817	0
229	394	0	3.34460343	0
230	396	0	3.35920868	0
231	397	0	3.37381394	0
232	399	0	3.38841919	0
233	401	0	3.40302445	0
234	402	0	3.4176297	0
235	404	0	3.43223496	0
236	406	0	3.44684021	0
237	407	0	3.46144547	0
238	409	0	3.47605072	0
239	411	0	3.49065598	0
240	412	0	3.50526123	0
241	414	0	3.51986649	0
242	415	0	3.53447174	0
243	417	0	3.549077	0
244	419	0	3.56368225	0
245	421	0	3.57828751	0
246	422	0	3.59289276	0
247	424	0	3.60749802	0
248	426	0	3.62210327	0
249	427	0	3.63670853	0
250	429	0	3.65131378	0
251	431	0	3.66591904	0
252	432	0	3.68052429	0
253	434	0	3.69512955	0
254	435	0	3.7097348	0
255	437	0	3.72434006	0
256	439	0	3.73894532	0
257	440	0	3.75355057	0
258	442	0	3.76815583	0
259	444	0	3.78276108	0
260	445	0	3.79736634	0
261	447	0	3.81197159	0
262	449	0	3.82657685	0
263	450	0	3.8411821	0
264	452	0	3.85578736	0
265	454	0	3.87039261	0
266	455	0	3.88499787	0
267	457	0	3.89960312	0
268	458	0	3.91420838	0
269	460	0	3.92881363	0
270	462	0	3.94341889	0
271	463	0	3.95802414	0
272	465	0	3.9726294	0
273	466	0	3.98723465	0
274	468	0	4.00183991	0
